Irradiance[W/m^2],Temperature[deg C],Humidity[%],Wind Speed[m/s]
59.3664,-11.84,60.76,0
56.9667,-11.76,60.15,0
54.6695,-11.74,59.91,0
52.3369,-11.73,60.37,0
50.1181,-11.69,60.15,0
47.7679,-11.69,60.29,0
40.8382,-11.77,60.74,0.092
29.9795,-11.92,61.02,0.242
22.321,-11.99,61.33,0
20.7111,-11.99,61.44,0
19.8785,-12,61.3,0
19.0807,-12,61.63,0
18.2363,-12.02,62.12,0
17.4001,-12.11,62.21,0
16.7081,-12.33,62.32,0.312
16.1123,-12.65,63.03,0.022
15.522,-12.88,64.06,0.067
14.8414,-12.98,64.58,0
14.0397,-13.15,64.82,0
13.0536,-13.26,64.96,0
12.0344,-13.43,65.22,0
11.1306,-13.58,65.93,0
10.4901,-13.74,66.56,0.173
9.92804,-13.92,67.05,0.035
9.39282,-13.96,67.44,0.092
8.91127,-13.99,67.74,0
8.38601,-14,67.93,0
7.88375,-14,68.08,0
7.37678,-14,68.04,0
6.91349,-14,67.87,0
6.45374,-14.05,67.94,0.035
5.9992,-14.13,68.08,0.092
5.56001,-14.18,68.34,0.022
8.3444,-6.09,31.05,2.75
10.3297,-6.132,31.6,2.638
11.7864,-6.144,31.66,2.738
13.06,-6.163,31.66,2.563
14.5463,-6.175,31.85,2.825
16.1126,-6.181,31.32,2.675
17.6245,-6.181,31.09,2.65
19.1741,-6.148,30.59,3.013
20.7047,-6.078,30.48,2.875
22.2741,-5.981,30.36,2.725
24.0083,-5.992,31.15,2.413
25.8757,-6.034,30.65,2.763
27.7767,-6.047,30.95,2.025
29.6038,-6.097,31.1,2.65
31.5111,-6.122,30.64,2.463
33.5772,-6.109,30.46,2.525
35.5337,-6.01,30.68,2.188
37.6959,-5.96,30.36,2.563
39.8381,-5.94,30.64,2.238
41.9207,-5.935,30.06,2.038
44.1388,-5.889,29.89,1.875
46.4692,-5.78,29.77,1.825
48.7366,-5.716,30.12,1.75
50.9994,-5.698,29.75,1.675
53.4741,-5.668,29.2,1.925
56.0496,-5.653,29.35,1.925
58.5262,-5.598,29.24,2.063
60.9382,-5.489,29.53,2.063
63.3752,-5.42,28.26,2.325
65.8804,-5.385,28.19,2.163
68.5471,-5.309,27.55,2.338
71.236,-5.234,28.18,1.9
73.8084,-5.181,27.76,2.013
76.531,-5.14,27.9,2.238
79.3107,-5.096,26.7,1.875
81.8117,-4.985,27.02,2.363
84.3502,-4.954,26.91,1.888
87.2017,-4.949,27.07,1.675
90.0135,-4.913,27.59,1.663
92.7663,-4.887,27.11,2.15
95.745,-4.87,27.72,1.338
98.4308,-4.872,27.29,1.675
101.211,-4.838,26.88,1.7
104.223,-4.782,26.75,1.788
107.14,-4.722,26.6,2.075
109.588,-4.661,26.57,1.638
112.622,-4.629,26.67,1.375
115.87,-4.626,26.59,1.5
118.709,-4.645,26.26,1.5
121.621,-4.638,26.57,1.25
124.462,-4.644,26.28,1.225
127.356,-4.639,25.88,1.388
130.242,-4.627,26.06,1.613
133.052,-4.628,26.15,1.65
135.94,-4.623,25.83,1.538
138.942,-4.589,26.21,1.188
141.867,-4.557,26.41,1.65
144.673,-4.53,27.45,2.038
147.714,-4.486,27.74,2.125
150.565,-4.427,27.35,2.425
153.285,-4.387,27.42,2.513
156.107,-4.349,27.05,2.438
159.034,-4.251,26.82,2.113
161.874,-4.175,26.88,2.45
164.882,-4.147,26.6,2.375
